name,ring,quadrant,isNew,description
ASP.NET Minimal APIs,Trial,languages & frameworks,TRUE,"<p>ASP.NET Minimal APIs provide a more declarative syntax than ASP.NET Core MVC for Web applications, allowing for more inline code and smaller projects.</p>
<p>We're beginning conversion to Minimal APIs in some projects, but don't consider this a fully proven approach for our uses yet.</p>"
MVC on ASP.NET,Hold,languages & frameworks,TRUE,"<p>We use this blip to refer to Web application development using ASP.NET Core MVC.</P>
<p>As front-end frameworks like Vue.js enable more contemporary UI designs that provide a better user experience than server-side applications, we no longer develop MVC Web applications, even for internal applications.</p>
<p>See also: ASP.NET Razor pages.</p>"
ASP.NET Razor pages,Hold,languages & frameworks,FALSE,"<p>An ASP.NET framework for building views within ASP.NET Core MVC.</p>
<p>The Merck Index Online is the most recently developed application in our estate built using Razor views, albeit a hybrid approach that uses ASP.NET only to pre-render content. This approach was chosen mainly to minimise page load times and improve SEO, but we now use frameworks like NuxtJS to deliver single-page apps that load quickly on the first page view and also work well with search engines.</p>"
Blazor,Assess,languages & frameworks,TRUE,"<p>A framework for building interactive Web applciations using .NET, with the option to compile to WebAssembly to run code in the browser.</p>
<p>We've used Blazor in one of our internal applications. It's especially interesting to us given that .NET is our framework of choice for server-side development. The ability to compile shared code to Web Assmebly has the potential to reduce overall development effort and bring performance improvements to our end user applications. The server-side prerendering feature of Blazor could also be of interest as a replacement for NuxtJS.</p>"
C#,Adopt,languages & frameworks,FALSE,"<p>Our preferred language for the application development teams; with most of our codebase in C#, we benefit from having a significant body of experience and tooling to support writing, building and deploying software writtten in C# and .NET.</p>"
GraphQL,Trial,languages & frameworks,TRUE,"<p>A query language and runtime that enables API clients to request specific data from a server by defining the structure of the desired response.</p>
<p>We believe that the flexibility of GraphQL when compared with REST and SOAP makes it worth exploring for new API development.</p>"
Hangfire,Hold,languages & frameworks,FALSE,"<p>Background job runner with persistent storage.</p>
<p>This library is very useful for scenarios that involve polling for incoming jobs, especially where large workloads are involved that may need to be paused and restarted.</p>
<p>However, we're increasingly focused on being cloud-native, and we believe there are better approaches through technologies like Lambda functions, Fargate tasks and SQS.</p>"
HyperApp,Hold,languages & frameworks,FALSE,"<p>A lightweight UI framework with similarities to React. HyperApp generally benchmarks faster than Vue or React, but adoption and awareness are far below that of Vue, Angular and React. Although we have some experience with it from projects at the RSC, its relatively small user community means we've settled on 'hold' for this blip.</p>"
JavaScript,Adopt,languages & frameworks,FALSE,"<p>As the programming language supported by all major Web browsers, and also supported in some AWS use cases that do not offer support for .NET such as Lambda@Edge, JavaScript is unavoidable for us.</p>
<p>We prefer JavaScript to TypeScript. However, C# remains our preferred choice when it's an option.</p>"
JSON,Adopt,languages & frameworks,FALSE,"<p>Although we're often limited to XML due to its broad adoption within the publishing industry, JSON is our default choice for information interchange and document storage.</p>"
